RowID,Year,BranchName,AnnualNumberofVisits
270,2014,Northern Elms,34300
271,2014,New Toronto,91293
272,2014,Osborne Collection,6800
273,2014,Oakwood Village Library and Arts Centre,86450
274,2014,Pape/Danforth,239357
275,2014,Perth/Dupont,43838
276,2014,Parkdale,348589
277,2014,Parliament Street,198530
278,2014,Palmerston,109425
279,2014,Port Union,117025
280,2014,Pleasant View,100388
281,2014,Queen/Saulter,65850
282,2014,Riverdale,203900
283,2014,Richview,553673
284,2014,Runnymede,364788
285,2014,Rexdale,51613
286,2014,Sanderson,268350
287,2014,Sunnybrook Hospital,15950
288,2014,St. Clair/Silverthorn,31188
289,2014,St. James Town,182788
290,2014,St. Lawrence,110738
291,2014,Spadina Road,78683
292,2014,Steeles,145800
293,2014,Swansea Memorial,17575
294,2014,S. Walter Stewart,254470
295,2014,Taylor Memorial,36263
296,2014,Thorncliffe,194913
297,2014,Todmorden Room,25938
298,2014,Toronto Reference Library,1247697
299,2014,Victoria Village,37750
300,2014,Weston,94875
301,2014,Woodview Park,37725
302,2014,Woodside Square,439963
303,2014,Wychwood,105900
304,2014,Yorkville,177013
305,2014,York Woods,225983
306,2015,Albion,194587
307,2015,Albert Campbell,277118
308,2015,Alderwood,101250
309,2015,Agincourt,397421
310,2015,Armour Heights,67038
311,2015,Annette Street,117375
312,2015,Amesbury Park,51313
313,2015,Brookbanks,75938
314,2015,Black Creek,89425
315,2015,Bendale,65550
316,2015,Beaches,185450
317,2015,Barbara Frum,264647
318,2015,Bookmobile One,18900
319,2015,Bloor/Gladstone,362150
320,2015,Brentwood,232857
321,2015,Bridlewood,380100
322,2015,Burrows Hall,99100
323,2015,Cliffcrest,79300
324,2015,Centennial,118613
325,2015,Cedarbrae,352780
326,2015,City Hall,197250
327,2015,North York Central Library,1538044
328,2015,College/Shaw,123950
329,2015,Danforth/Coxwell,158113
330,2015,Don Mills,267097
331,2015,Downsview,174447
332,2015,Deer Park,247425
333,2015,Dawes Road,114925
334,2015,Davenport,39975
335,2015,Dufferin/St. Clair,105000
336,2015,Eatonville,226512
337,2015,Elmbrook Park,45000
338,2015,Evelyn Gregory,52900
339,2015,Ethennonnhawahstihnen',171555
340,2015,Eglinton Square,202550
341,2015,Forest Hill,101125
342,2015,Fort York,180200
343,2015,Flemingdon Park,191338
344,2015,Fairview,426072
345,2015,Gerrard/Ashdale,94525
346,2015,Goldhawk Park,179312
347,2015,Guildwood,45763
348,2015,Humber Bay,51825
349,2015,Highland Creek,69713
350,2015,Hillcrest,108500
351,2015,High Park,185788
352,2015,Humber Summit,46888
353,2015,Humberwood,109813
354,2015,Jane/Dundas,150800
355,2015,Jones,75850
356,2015,Jane/Sheppard,103250
357,2015,Kennedy/Eglinton,110675
358,2015,Long Branch,53775
359,2015,Leaside,147050
360,2015,Locke,169263
361,2015,Lillian H. Smith,317780
362,2015,Main Street,116263
363,2015,Malvern,362833
364,2015,Maria A. Shchuka,205793
365,2015,McGregor Park,125177
366,2015,Mount Dennis,80588
367,2015,Merril Collection,8113
368,2015,Mimico Centennial,94488
369,2015,Mount Pleasant,62863
370,2015,Maryvale,167575
371,2015,Morningside,91163
372,2015,Northern District,306319
373,2015,Northern Elms,35163
374,2015,New Toronto,73324
375,2015,Osborne Collection,4813
376,2015,Oakwood Village Library and Arts Centre,72713
377,2015,Pape/Danforth,229683
378,2015,Perth/Dupont,34938
